Rank,Code,State,Per capita income,Median household income,Median family income,Population,Numebrs of households,Number of families
,DC,District of Columbia,45877,71648,84094,658893,277378,117864
1,CT,Connecticut,39373,70048,88819,3596677,1355817,887263
2,NJ,New Jersey,37288,69160,87951,8938175,2549336,1610581
3,MA,Massachusetts,36593,71919,88419,6938608,3194844,2203675
4,MD,Maryland,36338,73971,89678,5976407,2165438,1445972
5,NH,New Hampshire,34691,66532,80581,1326813,519756,345901
6,VA,Virginia,34052,64902,78290,8326289,3083820,2058820
7,NY,New York,33095,58878,71115,19746227,7282398,4621954
8,ND,North Dakota,33071,59029,75221,739482,305431,187800
9,AK,Alaska,33062,71583,82307,736732,249659,165015
10,MN,Minnesota,32638,61481,77941,5457173,2129195,1369594
11,CO,Colorado,32357,61303,75405,5355866,2039592,1315283
12,WA,Washington,31841,61366,74193,7061530,2679601,1725099
13,RI,Rhode Island,30830,54891,71212,1055173,409654,257165
14,DE,Delaware,30488,59716,72594,935614,349743,233000
15,CA,California,30441,61933,71015,38802500,12758648,8762059
16,IL,Illinois,30417,57444,71796,12880580,4772421,3099184
17,HI,Hawaii,29736,69592,79187,1419561,450769,314151
18,WY,Wyoming,29698,57055,72460,584153,232594,149032
19,PA,Pennsylvania,29220,53234,67876,12787209,4945972,3185054
20,VT,Vermont,29178,54166,67154,626562,257229,162017
21,IA,Iowa,28361,53712,67771,3107126,1241471,801562
22,WI,Wisconsin,28213,52622,67187,5757564,2307685,1485877
23,ME,Maine,27978,49462,62078,1330089,549841,344585
24,KS,Kansas,27870,52504,66425,2904021,1109280,728602
25,OR,Oregon,27646,51075,62670,3970239,1535511,966250
26,NE,Nebraska,27446,52686,66120,1881503,740765,480317
27,TX,Texas,27125,53035,62830,26956958,9277197,6407165
28,SD,South Dakota,26959,50979,66936,853175,334475,211235
29,OH,Ohio,26937,49308,62300,11594163,4593172,2923523
30,MI,Michigan,26613,49847,62143,9909877,3834574,2485159
31,FL,Florida,26582,47463,57212,19893297,7328046,4693411
32,MO,Missouri,26126,48363,61299,6063589,2354809,1508816
33,MT,Montana,25989,46328,60643,1023579,410962,251176
34,NC,North Carolina,25774,46556,57380,9943964,3790620,2492048
35,NV,Nevada,25773,51450,60824,2839099,1021519,642461
36,AZ,Arizona,25715,50068,59700,6731484,2428743,1579481
37,GA,Georgia,25615,49321,58885,10097343,3587521,2426392
38,OK,Oklahoma,25229,47529,58710,3878051,1459759,966516
39,IN,Indiana,25140,49446,60780,6596855,2502739,1657223
40,TN,Tennessee,24922,44361,55557,6549352,2509665,1660344
41,UT,Utah,24877,60922,69535,2942902,918370,691495
42,LA,Louisiana,24800,44555,56573,4649676,1718194,1112659
43,SC,South Carolina,24596,45238,56491,4832482,1826914,1201616
44,ID,Idaho,23938,47861,58101,1634464,591587,407499
45,KY,Kentucky,23684,42958,54776,4413457,1712094,1124586
46,NM,New Mexico,23683,44803,54705,2085572,760916,489532
47,AL,Alabama,23606,42830,53764,4849377,1841217,1232515
48,AR,Arkansas,22883,41262,51528,2966369,1131288,752212
49,WV,West Virginia,22714,41059,52413,1850326,735375,472869
50,MS,Mississippi,21036,39680,50178,2994079,1095823,738463
